# p n -> p p pi-
# data points from Landolt-Börnstein
#
# p_lab[GeV] sigma[mb] err[mb] Ref.

0.800   0.000395 0.000196 Daum,EPJC23,2002
0.816   0.00143  0.00032  Daum,EPJC23,2002
0.831   0.00281  0.00046  Daum,EPJC23,2002
0.846   0.00611  0.00073  Daum,EPJC23,2002
0.861   0.00923  0.00094  Daum,EPJC23,2002
0.875   0.0135   0.0012   Daum,EPJC23,2002
0.890   0.0188   0.0016   Daum,EPJC23,2002
0.904   0.0236   0.0019   Daum,EPJC23,2002
0.919   0.0343   0.0026   Daum,EPJC23,2002
0.933   0.0420   0.0031   Daum,EPJC23,2002
0.947   0.0542   0.0040   Daum,EPJC23,2002
0.961   0.0696   0.0050   Daum,EPJC23,2002
0.975   0.0869   0.0061   Daum,EPJC23,2002
0.989   0.097    0.007    Daum,EPJC23,2002
1.003   0.130    0.009    Daum,EPJC23,2002
1.016   0.153    0.010    Daum,EPJC23,2002
1.030   0.183    0.012    Daum,EPJC23,2002
1.04    0.19     0.03     Tsuboyama,NPA486,1988
1.043   0.209    0.014    Daum,EPJC23,2002
1.057   0.243    0.016    Daum,EPJC23,2002
1.070   0.294    0.019    Daum,EPJC23,2002
1.083   0.334    0.021    Daum,EPJC23,2002
1.097   0.390    0.025    Daum,EPJC23,2002
1.110   0.429    0.027    Daum,EPJC23,2002
1.123   0.501    0.032    Daum,EPJC23,2002
1.136   0.573    0.036    Daum,EPJC23,2002
1.14    0.67     0.04     Tsuboyama,NPA486,1988
1.14    0.55     0.04     Dakhno,SJNP36,83-82
1.149   0.642    0.040    Daum,EPJC23,2002
1.162   0.757    0.047    Daum,EPJC23,2002
1.174   0.916    0.057    Daum,EPJC23,2002
1.216   1.05     0.08     Dakhno,SJNP36,83-82
1.25    1.19     0.08     Tsuboyama,NPA486,1988
1.291   1.32     0.08     Dakhno,SJNP36,83-82
1.34    1.85     0.08     Tsuboyama,NPA486,1988
1.348   1.59     0.08     Dakhno,SJNP36,83-82
1.379   1.74     0.09     Dakhno,SJNP36,83-82
1.437   2.09     0.11     Dakhno,SJNP36,83-82
1.44    2.14     0.09     Tsuboyama,NPA486,1988
1.48    2.24     0.09     Tsuboyama,NPA486,1988
1.507   2.23     0.12     Dekhno,SJNP36,33-82
1.562   2.29     0.12     Dakhno,SJNP36,83-82
1.59    2.38     0.09     Tsuboyama,NPA486,1988
1.671   2.5      0.12     Dekhno,SJNP36,83-82
1.825   2.57     0.14     Brunt,PRl87,1856-69
2.11    2.68     0.19     Brunt,PR187,1856-69
3.7     3.2      0.6      Cohn,NPB21,505-70
3.7     1.8      0.18     Bugg,BAPSl2,470-67
5.9     1.4      0.1      Kirschbaum,PRD7,1324-73
6.98    1.17     0.05     YekutieE,NPB40,77-72
12.5    0.757    0.052    Cooper,NPB79,259-74
19      0.65     0.03     Bakken,NPB124,229-77
