1    a0peysza                                 A T O M I C   M A S S   A D J U S T M E N T
0                                                     DATE 18 Nov 2003 TIME 14:12
0        *********************                               A=   0 TO 293
         * file : mass.mas03 *
         *********************

   This is one file out of a series of 3 files published in:
       "The Ame2003 atomic mass evaluation (II)"  by G.Audi, A.H.Wapstra and C.Thibault
           Nuclear Physics A729 p. 337-676, December 22, 2003.
                       for files : mass.mas03  atomic masses
                                   rct1.mas03  react and sep energies,  part 1
                                   rct2.mas03  react and sep energies,  part 2

   A fourth file  is the "Rounded" version of the atomic mass table (the first file)
                                   mass.mas03round  atomic masses "Rounded" version

   All files are 3179 lines long with 124 character per line.
       Headers are 39 lines long.

   Values in the files 1, 2 and 3 are exact (unrounded) copy of the published ones
   Values in the files 4          are exact             copy of the published ones

   col 1     :  Fortran character control: 1 = page feed  0 = line feed
   format    :  a1,i3,i5,i5,i5,1x,a3,a4,1x,f13.5,f11.5,f11.3,f9.3,1x,a2,f11.3,f9.3,1x,i3,1x,f12.5,f11.3,1x
                cc NZ  N  Z  A    el  o     mass  unc binding unc     B  beta  unc    atomic_mass   unc
   Warnings  :  this format is not identical to the one used in Ame1993 and Ame1995
                      in particular "Mass Excess" and "Atomic Mass" values are given now, when necessary,
                      with 5 digits after decimal point.
                      also, the "Binding Energy" column is replaced by a "Binding Energy per A" one.
                decimal point is replaced by # for (non-experimental) estimated values.
                * in place of value : not calculable

....+....1....+....2....+....3....+....4....+....5....+....6....+....7....+....8....+....9....+...10....+...11....+...12....

                                                               MASS LIST
                                                             for analysis

Data from NNDC sorted according N,Z, ElementName, MassExcess (keV), Binding Energy / A (keV)-Exp, Spin,Bind_Coul/A,Bind/A (RMF)
The table below is a combination of the NNDC files "mass.mass03" and "nubtab03.asc.mod.dat"

Two new columns added: binding energy from RMF Model with and without Coulomb field.
		       For nuclei heavier with A>39 an average of 10.5 MeV (14 MeV) is used in RMF-model.

  N    Z  Element  MassExcess(keV) BindEn/A(keV)    Spin       BindEn/A(keV)  BindEn/A (keV) - last two columns: RMF results
 
   1    0 1n        8071.31689       0.00000       0.5000       0.00000       0.00000
   0    1 1H        7288.97070       0.00000       0.5000       0.00000       0.00000
   1    1 2H       13135.72168    1112.28296       1.0000    4112.28296    4112.28296
   2    1 3H       14949.80566    2827.26611       0.5000    7117.00000    7214.00000
   1    2 3He      14931.21484    2572.68091       0.5000    6642.00000    6988.00000
   3    1 4H       25901.51758    1400.35095       2.0000    7471.00000    7549.00000
   2    2 4He       2424.91577    7073.91504       0.0000    8127.00000    8397.00000
   1    3 4Li      25323.18555    1153.76099       2.0000    6431.00000    6965.00000
   4    1 5H       32892.44141    1336.35999       0.5000    7831.00000    7893.00000
   3    2 5He      11386.23340    5481.13184       1.5000    8688.00000    8909.00000
   2    3 5Li      11678.88574    5266.13184       1.5000    8336.00000    8787.00000
   5    1 6H       41863.75781     963.63300       2.0000    7774.00000    7825.00000
   4    2 6He      17595.10547    4878.01709       0.0000    9178.00000    9364.00000
   3    3 6Li      14086.79297    5332.34521       1.0000    8976.00000    9362.00000
   2    4 6Be      18374.94727    4487.26221       0.0000    8089.00049    8722.00000
   1    5 6B       43603.00000     152.00000       2.0000    6302.00000    7204.00000
   6    1 7H       49135.00000     940.00000       0.5000    7880.00049    7924.00000
   5    2 7He      26101.03711    4119.06982       1.5000    9105.00000    9263.00000
   4    3 7Li      14908.14062    5606.29102       1.5000    9551.00000    9891.00000
   3    4 7Be      15770.03418    5371.39990       1.5000    9358.00000    9912.00000
   2    5 7B       27868.34570    3531.30591       1.5000    7946.00049    8749.00000
   6    2 8He      31598.04492    3925.97510       0.0000    9178.00000    9318.00000
   5    3 8Li      20946.84375    5159.58203       2.0000    9886.00000   10182.00000
   4    4 8Be       4941.67188    7062.43506       0.0000   10017.00000   10511.00000
   3    5 8B       22921.49023    4717.16406       2.0000    9030.00000    9755.00000
   2    6 8C       35094.05859    3097.80005       0.0000    7909.00000    8887.00000
   7    2 9He      40939.42969    3348.63696       0.5000    9330.00000    9457.00000
   6    3 9Li      24954.26367    5037.83887       1.5000   10172.00000   10435.00000
   5    4 9Be      11347.64844    6462.75781       1.5000   10367.00000   10815.00000
   4    5 9B       12415.68066    6257.16016       1.5000   10172.00000   10829.00000
   3    6 9C       28910.49023    4337.47607       1.5000    8971.00000    9867.00000
   8    2 10He     48809.20312    3033.92700       0.0000    9525.00000    9638.00000
   7    3 10Li     33050.58203    4531.55518       1.0000   10075.00000   10313.00000
   6    4 10Be     12606.66992    6497.71094       0.0000   10379.00000   10785.00000
   5    5 10B      12050.73145    6475.07080       3.0000   10057.00000   10654.00000
   4    6 10C      15698.68164    6032.04102       0.0000    9563.00000   10382.00000
   3    7 10N      38800.14844    3643.65991       2.0000    8900.00000    9959.00000
   8    3 11Li     40797.30859    4149.10400       1.5000    9973.00000   10190.00000
   7    4 11Be     20174.06445    5952.82178       0.5000   10519.00000   10888.00000
   6    5 11B       8667.93066    6927.71094       1.5000   10692.00000   11241.00000
   5    6 11C      10650.34180    6676.37012       1.5000   10254.00000   11007.00000
   4    7 11N      24303.56836    5364.04492       0.5000    9664.00000   10637.00000
   8    4 12Be     25076.50586    5720.82617       0.0000   10485.00000   10823.00000
   7    5 12B      13368.89941    6631.26416       1.0000   10683.00000   11189.00000
   6    6 12C          0.00000    7680.14404       0.0000   10707.00000   11405.00000
   5    7 12N      17338.08203    6170.10791       1.0000   10100.00000   11004.00000
   4    8 12O      32047.95312    4879.08984       0.0000    9524.00000   10660.00000
   9    4 13Be     33247.82422    5273.06982       0.5000   10639.00000   10951.00000
